,VehId,tile_ID_x,tile_ID_y,day_x,contagem
279,181,77130,66449,Friday,5
280,184,21933,20542,Sunday,2
281,184,21933,20542,Sunday,2
282,184,21933,20908,Saturday,2
283,184,21933,20908,Saturday,2
284,184,21933,20908,Sunday,4
285,184,21933,20908,Sunday,4
286,184,21933,20908,Sunday,4
287,184,21933,20908,Sunday,4
288,184,30422,51978,Saturday,2
289,184,30422,51978,Saturday,2
290,184,48204,68997,Saturday,2
291,184,48204,68997,Saturday,2
292,184,48204,69001,Saturday,2
293,184,48204,69001,Saturday,2
294,184,48204,75312,Saturday,3
295,184,48204,75312,Saturday,3
296,184,48204,75312,Saturday,3
297,184,48204,75312,Sunday,2
298,184,48204,75312,Sunday,2
299,184,70692,30422,Saturday,2
300,184,70692,30422,Saturday,2
301,184,75736,30421,Saturday,2
302,184,75736,30421,Saturday,2
303,185,20542,69505,Thursday,2
304,185,20542,69505,Thursday,2
305,185,69505,76279,Monday,2
306,185,69505,76279,Monday,2
307,185,69505,76704,Monday,10
308,185,69505,76704,Monday,10
309,185,69505,76704,Monday,10
310,185,69505,76704,Monday,10
311,185,69505,76704,Monday,10
312,185,69505,76704,Monday,10
313,185,69505,76704,Monday,10
314,185,69505,76704,Monday,10
315,185,69505,76704,Monday,10
316,185,69505,76704,Monday,10
317,185,69505,76704,Tuesday,13
318,185,69505,76704,Tuesday,13
319,185,69505,76704,Tuesday,13
320,185,69505,76704,Tuesday,13
321,185,69505,76704,Tuesday,13
322,185,69505,76704,Tuesday,13
323,185,69505,76704,Tuesday,13
324,185,69505,76704,Tuesday,13
325,185,69505,76704,Tuesday,13
326,185,69505,76704,Tuesday,13
327,185,69505,76704,Tuesday,13
328,185,69505,76704,Tuesday,13
329,185,69505,76704,Tuesday,13
330,185,69505,76704,Wednesday,2
331,185,69505,76704,Wednesday,2
332,185,69505,77928,Monday,2
333,185,69505,77928,Monday,2
334,185,69505,78354,Monday,5
335,185,69505,78354,Monday,5
336,185,69505,78354,Monday,5
337,185,69505,78354,Monday,5
338,185,69505,78354,Monday,5
339,185,69505,78354,Tuesday,14
340,185,69505,78354,Tuesday,14
341,185,69505,78354,Tuesday,14
342,185,69505,78354,Tuesday,14
343,185,69505,78354,Tuesday,14
344,185,69505,78354,Tuesday,14
345,185,69505,78354,Tuesday,14
346,185,69505,78354,Tuesday,14
347,185,69505,78354,Tuesday,14
348,185,69505,78354,Tuesday,14
349,185,69505,78354,Tuesday,14
350,185,69505,78354,Tuesday,14
351,185,69505,78354,Tuesday,14
352,185,69505,78354,Tuesday,14
353,185,69505,78354,Wednesday,3
354,185,69505,78354,Wednesday,3
355,185,69505,78354,Wednesday,3
356,185,76705,69505,Monday,2
357,185,76705,69505,Monday,2
358,185,76705,69505,Tuesday,2
