Unnamed: 0,Veículo,grid_origem,grid_destino,dia,contagem
1075,276,76292,74546,Wednesday,7
1076,276,76292,74546,Wednesday,7
1077,276,76292,74549,Tuesday,6
1078,276,76292,74549,Tuesday,6
1079,276,76292,74549,Tuesday,6
1080,276,76292,74549,Tuesday,6
1081,276,76292,74549,Tuesday,6
1082,276,76292,74549,Tuesday,6
1083,276,76292,74549,Wednesday,3
1084,276,76292,74549,Wednesday,3
1085,276,76292,74549,Wednesday,3
1086,276,76704,74545,Tuesday,2
1087,276,76704,74545,Tuesday,2
1088,276,76705,64463,Tuesday,2
1089,276,76705,64463,Tuesday,2
1090,276,76705,64463,Wednesday,2
1091,276,76705,64463,Wednesday,2
1092,276,76705,74544,Tuesday,4
1093,276,76705,74544,Tuesday,4
1094,276,76705,74544,Tuesday,4
1095,276,76705,74544,Tuesday,4
1096,276,76705,74544,Wednesday,2
1097,276,76705,74544,Wednesday,2
1098,276,76705,74545,Tuesday,2
1099,276,76705,74545,Tuesday,2
1100,276,76705,74545,Wednesday,2
1101,276,76705,74545,Wednesday,2
1102,276,76705,74546,Tuesday,3
1103,276,76705,74546,Tuesday,3
1104,276,76705,74546,Tuesday,3
1105,276,76705,74547,Monday,2
1106,276,76705,74547,Monday,2
1107,276,77129,74546,Wednesday,2
1108,276,77129,74546,Wednesday,2
1109,276,77130,74544,Tuesday,3
1110,276,77130,74544,Tuesday,3
1111,276,77130,74544,Tuesday,3
1112,276,77130,74544,Wednesday,2
1113,276,77130,74544,Wednesday,2
1114,276,77130,74545,Monday,2
1115,276,77130,74545,Monday,2
1116,276,77130,74545,Tuesday,4
1117,276,77130,74545,Tuesday,4
1118,276,77130,74545,Tuesday,4
1119,276,77130,74545,Tuesday,4
1120,276,77130,74545,Wednesday,5
1121,276,77130,74545,Wednesday,5
1122,276,77130,74545,Wednesday,5
1123,276,77130,74545,Wednesday,5
1124,276,77130,74545,Wednesday,5
1125,276,77130,74546,Tuesday,4
1126,276,77130,74546,Tuesday,4
1127,276,77130,74546,Tuesday,4
1128,276,77130,74546,Tuesday,4
1129,276,77130,74546,Wednesday,4
1130,276,77130,74546,Wednesday,4
1131,276,77130,74546,Wednesday,4
1132,276,77130,74546,Wednesday,4
1133,276,77130,74547,Monday,2
1134,276,77130,74547,Monday,2
1135,276,77130,74549,Monday,2
1136,276,77130,74549,Monday,2
1137,276,77130,74549,Wednesday,2
1138,276,77130,74549,Wednesday,2
1164,283,53200,77896,Thursday,2
1165,283,53200,77896,Thursday,2
1166,283,53200,78321,Thursday,2
1167,283,53200,78321,Thursday,2
