,VehId,tile_ID_x,tile_ID_y,day_x,contagem
2604,231,21307,56545,Sunday,2
2607,231,21628,21285,Monday,2
2608,231,21628,21285,Sunday,3
2609,231,21628,21285,Tuesday,2
2610,231,21628,21655,Monday,3
2612,231,21628,21655,Tuesday,6
2632,231,29701,21655,Monday,2
2712,232,35232,43325,Tuesday,2
2735,232,45012,24296,Tuesday,3
2738,232,47463,24296,Tuesday,2
2752,232,50746,24296,Wednesday,2
2778,242,66449,75312,Thursday,14
2789,242,74548,77896,Thursday,2
2791,242,75312,66449,Thursday,4
2792,242,75313,66449,Thursday,2
2796,242,75736,66449,Thursday,5
2797,242,75737,66449,Thursday,2
2816,249,21628,39319,Saturday,2
3006,251,64033,78354,Wednesday,2
3007,251,64034,78354,Wednesday,2
3016,251,69505,78354,Tuesday,2
3034,251,78354,64044,Wednesday,2
3035,251,78354,64462,Wednesday,2
3036,251,78354,64463,Wednesday,2
3039,251,78354,76704,Wednesday,2
3040,251,78354,77928,Wednesday,2
3042,251,78354,78354,Tuesday,2
3043,251,78354,78354,Wednesday,5
3047,251,78355,69926,Wednesday,2
3048,251,78355,78354,Wednesday,2
3063,258,51163,72004,Thursday,2
3089,258,69900,48285,Thursday,3
3169,259,47040,75312,Tuesday,2
3172,259,47448,75312,Saturday,3
3183,259,48264,75312,Tuesday,2
3233,259,75312,47040,Sunday,2
3236,259,75312,47448,Monday,3
3241,259,75312,47856,Tuesday,2
3242,259,75312,48264,Saturday,2
3244,259,75312,48264,Tuesday,3
3245,259,75312,48264,Wednesday,3
3258,259,75736,47856,Sunday,2
3260,259,75736,48264,Sunday,2
3266,265,48208,53962,Thursday,2
3270,265,56857,64033,Thursday,4
3271,265,56857,64044,Thursday,3
3279,265,57272,64033,Thursday,4
3280,265,57272,64033,Wednesday,2
3288,265,75312,54375,Wednesday,2
3289,265,75312,57272,Friday,2
3383,266,56857,66058,Saturday,2
3410,266,75312,38032,Saturday,3
3444,267,46242,76279,Wednesday,2
3445,267,46242,76704,Monday,3
3449,267,46245,76704,Monday,2
3454,267,48704,76704,Monday,2
3455,267,48704,76704,Sunday,2
3466,267,64462,76704,Tuesday,2
3481,267,76705,45007,Sunday,3
3484,267,76705,45009,Tuesday,2
3490,267,76705,45012,Tuesday,2
3491,267,76705,45412,Tuesday,2
3500,267,77129,45009,Monday,2
3503,267,77130,42976,Tuesday,2
3507,267,77130,45007,Monday,3
3510,267,77130,45009,Monday,2
3534,273,21276,53549,Friday,2
3536,273,21276,53962,Thursday,2
3547,273,21646,53962,Friday,3
3549,273,21646,53962,Thursday,3
3551,273,21646,56857,Thursday,2
3558,273,25434,53962,Thursday,3
3578,273,47464,47463,Friday,2
3591,273,51163,21655,Saturday,2
3596,273,53962,21285,Friday,2
3598,273,53962,21646,Friday,2
3599,273,53962,21646,Thursday,4
3602,273,53962,21655,Thursday,2
3604,273,53962,31284,Friday,2
3607,273,54375,21285,Friday,2
3609,273,54375,21646,Thursday,3
3638,275,66449,75312,Monday,3
3639,275,66449,75312,Sunday,2
3648,275,75736,66449,Monday,2
3664,275,78354,64033,Sunday,3
3681,276,64462,76704,Monday,2
